,Neighborhood,Population per Sqmi,Latitude,Longitude
110,Koreatown,42611,34.05779000000007,-118.30090999999999
111,La Cañada Flintridge,2369,34.20766000000003,-118.20724999999999
112,La Crescenta-Montrose,5401,34.229070000000036,-118.23989999999998
113,La Habra Heights,979,33.94813000000005,-117.96482999999995
114,La Mirada,5966,33.90853000000004,-118.01172999999994
115,La Puente,11761,34.02012000000008,-117.95039999999995
116,La Verne,3863,34.113000000000056,-117.76527999999996
117,Ladera Heights,2214,33.994020000000035,-118.37398999999999
118,Lake Balboa,7754,34.207160000000044,-118.50113999999996
119,Lake Hughes,61,34.67868000000004,-118.45219999999995
120,Lake Los Angeles,1601,34.606130000000064,-117.82445999999999
121,Lake View Terrace,2790,34.27453000000003,-118.37349999999998
122,Lakewood,8348,33.850010000000054,-118.13383999999996
123,Lancaster,1180,34.69890000000004,-118.14477999999997
124,Larchmont,17747,34.08099000000004,-118.32364999999999
125,Lawndale,16119,33.89862000000005,-118.35384999999997
126,Leimert Park,9880,34.008380000000045,-118.33044999999998
127,Lennox,21557,33.93819000000008,-118.35092999999995
128,Leona Valley,90,34.61793000000006,-118.28835999999995
129,Lincoln Heights,10602,34.069830000000024,-118.21163999999999
130,Littlerock,766,34.521060000000034,-117.99271999999996
131,Lomita,10424,33.80528000000004,-118.31989999999996
132,Long Beach,8882,33.76672000000008,-118.19239999999996
133,Lopez/Kagel Canyons,195,34.27519071589921,-118.38790628725796
134,Los Feliz,13512,34.10541000000006,-118.28923999999995
135,Lynwood,14264,33.92783000000003,-118.19926999999996
136,Malibu,629,34.03652000000005,-118.68795999999998
137,Manchester Square,11449,34.563475158387824,-118.0504534517424
138,Manhattan Beach,8573,33.887200000000064,-118.41085999999996
139,Mar Vista,12259,34.004680000000064,-118.42912999999999
140,Marina del Rey,5706,33.985280000000046,-118.45237999999995
141,Mayflower Village,9585,34.11504000000008,-118.00915999999995
142,Maywood,23638,33.98757000000006,-118.18980999999997
143,Mid-City,15051,34.040170000000046,-118.34762999999998
144,Mid-Wilshire,14988,34.06326000000007,-118.29307999999997
145,Mission Hills,5721,34.27397000000008,-118.46782999999999
146,Monrovia,2643,34.147830000000056,-117.99877999999995
147,Montebello,7329,34.01959000000005,-118.11642999999998
148,Montecito Heights,6959,34.091980000000035,-118.20100999999994
149,Monterey Park,7823,34.05979000000008,-118.12650999999994
150,Mount Washington,6878,34.09904000000006,-118.21133999999995
151,North El Monte,8677,34.10286000000008,-118.02362999999997
152,North Hills,10003,34.23563000000007,-118.48469999999998
153,North Hollywood,13264,34.16982000000007,-118.37898999999999
154,North Whittier,797,34.02106373447373,-118.03278679906565
155,Northeast Antelope Valley,10,34.4003247684866,-118.45925606884892
156,Northridge,6080,34.235040000000026,-118.53385999999995
157,Northwest Antelope Valley,16,34.4003247684866,-118.45925606884892
158,Northwest Palmdale,540,33.868259054165,-118.26344777857022
159,Norwalk,10572,33.916810000000055,-118.07251999999994
160,Pacific Palisades,1048,34.04710000000006,-118.52687999999995
161,Pacoima,10510,34.26108000000005,-118.42897999999997
162,Palmdale,874,34.579360000000065,-118.11658999999997
163,Palms,21870,34.01986000000005,-118.42095999999998
164,Palos Verdes Estates,2822,33.80003000000005,-118.39186999999998
165,Panorama City,18028,34.223020000000076,-118.44874999999996
166,Paramount,11395,33.88516000000004,-118.16139999999996
167,Pasadena,5366,34.14745000000005,-118.14426999999995
168,Pico Rivera,7187,33.98242000000005,-118.08798999999999
169,Pico-Robertson,17468,34.055750000000046,-118.37999999999994
170,Pico-Union,25352,34.04004000000003,-118.28554999999994
171,Playa Vista,1859,33.97395000000006,-118.43037999999996
172,Playa del Rey,3542,33.95924000000008,-118.44800999999995
173,Pomona,6556,34.05499000000003,-117.75003999999996
174,Porter Ranch,4462,34.28027000000003,-118.56129999999996
175,Quartz Hill,2475,34.64725000000004,-118.21844999999996
176,Ramona,1122,34.03058000000004,-118.27365999999995
177,Rancho Dominguez,947,33.85761000000008,-118.21593999999999
178,Rancho Palos Verdes,3084,33.74526000000003,-118.40377999999998
179,Rancho Park,7169,34.04507000000007,-118.41923999999995
180,Redondo Beach,10129,33.84445000000005,-118.38793999999996
181,Reseda,10600,34.19384000000008,-118.54753999999997
182,Ridge Route,7,34.74104479380456,-118.70979354455197
183,Rolling Hills,893,33.77609000000007,-118.34398999999996
